Переменная|Англ.|Русс.|Укр.
common.mail.order_done.accepted|got order No.| получил заказ №|отримав замовлення №
frontend.controllers.order.receive_order_two|got the order!| получил заказ!| отримав замовлення!
frontend.controllers.client.invites_you|welcomes into the system | приглашает вас в систему| запрошує вас в систему
frontend.controllers.order.rouble|RUB| руб| руб
market.views.site.supplier.rouble_two|RUB| руб.| руб.
frontend.controllers.order.discount|made a reduction to the order No.| сделал скидку на заказ №| зробив знижку на замовлення №
common.mail.order_created.new_order|created new order No.| создал новый заказ №| створив нове замовлення №
frontend.views.client.dashboard.phone|+7 499 404-10-18 ext. 202|+7 499 404-10-18 доб. 202|+7 499 404-10-18 доб. 202
market.views.site.restaurant.phone|+7 499-404-1018 ext. 202|+7 499-404-1018 доб. 202|+7 499-404-1018 доб. 202
frontend.views.request.phone|+7-499-404-10-18 ext. 202|+7-499-404-10-18 доб. 202|+ 7-499-404-10-18 доб. 202
frontend.views.site.downl_cat|, load products catalogues of your suppliers and invite then into MixCart by one click. You can also choose a new supplier. Since now, you can make all your purchases in MixCart.|, загрузите каталоги продуктов своих поставщиков, и пригласите их в MixCart, одним кликом. Вы так же можете выбрать новых поставщиков. С этого момента все ваши закупки вы можете делать в MixCart.|, Завантажте каталоги продуктів своїх постачальників, і запросіть їх в MixCart, одним кліком. Ви так само можете вибрати нових постачальників. З цього моменту всі ваші закупівлі ви можете робити в MixCart.
api.modules.v1.modules.mobile.components.notifications.order_no|, order No.|, заказ №|, Замовлення №
frontend.views.site.my_catalogs|", go to ""My catalogues"" and create your first catalogue, then go to ""My customers"" and enter contact data of your customers and invite them into the system."|", перейдите в раздел ""мои каталоги"" и создайте свой первый каталог с товарами, далее перейдите в раздел ""мои клиенты"", введите контактные данные своих клиентов и пригласите их в систему."|", Перейдіть в розділ ""мої каталоги"" і створіть свій перший каталог з товарами, далі перейдіть в розділ ""мої клієнти"", введіть контактні дані своїх клієнтів і запросіть їх в систему."
frontend.views.client.suppliers.set_goods|, specify products that you buy from the supplier|, укажите, какие товары вы покупаете у поставщика|, Вкажіть, які товари ви купуєте у постачальника
common.mail.weekend.dialog_message_2||- Не говорите, что вы забыли!|- Не кажіть, що ви забули!
common.mail.weekend.dialog_message_1||- Что?|- Що?
frontend.views.vendor.zero|0 RUB|0 руб.|0 руб.
frontend.views.request.fifteen_two|15 kg|15 кг|15 кг
franchise.views.finance.three|3 months|3 месяцев|3 місяців
frontend.views.request.seven_days|7 days|7 дней|7 днів
frontend.views.user.forgot.phone|8-499-404-10-18|8-499-404-10-18|8-499-404-10-18
api.modules.v1.modules.mobile.controllers.|<br/> changed quantity {prod} from {old} {ed} to |<br/> изменил количество {prod} с {old} {ed} на |<br/> змінив кількість {prod} з {old} {ed} на
frontend.controllers.order.not_changed|<br/> the original discount was saved for the new order conditions № |<br/> изначальная скидка сохранена для новых условий заказа № |<br/> початкова знижка збережена для нових умов замовлення №
frontend.controllers.order.cancelled_order_four|<br/> canceled reduction to the order No.|<br/> отменил скидку на заказ № |<br/> скасував знижку на замовлення №
frontend.controllers.order.made_discount|<br/> made a reduction to the order No. {order_id} equal to:|<br/> сделал скидку на заказ № {order_id} в размере:|<br/> зробив знижку на замовлення № {order_id} в розмірі:
frontend.controllers.del_two|<br/> deleted {prod} from the order|<br/> удалил {prod} из заказа|<br/> видалив {prod} з замовлення
frontend.controllers.order.change_three|<br/>changed quantity {prod} from {oldQuan} {ed} to|<br/>изменил количество {prod} с {oldQuan} {ed} на |<br/> змінив кількість {prod} з {oldQuan} {ed} на
frontend.controllers.order.change_price|<br/>changed price {prod} from {productPrice} {currencySymbol} to|<br/>изменил цену {prod} с {productPrice} {currencySymbol} на |<br/> змінив ціну {prod} з {productPrice} {currencySymbol} на
frontend.controllers.order.del|<br/>deletedл {prod} from order|<br/>удалил {prod} из заказа|<br/> видалив {prod} з замовлення
franchise.controllers.trying_to_upload|<small>You try to load catalogue of the exceeded acceptable size|<small>Вы пытаетесь загрузить каталог объемом больше |<Small> Ви намагаєтеся завантажити каталог обсягом більше
frontend.controllers.vendor.cat_error_three|<small>You try to load catalogue, which size exceeds {max} items (new items), get in contact with us and we will help you|<small>Вы пытаетесь загрузить каталог объемом больше {max} позиций (Новых позиций), обратитесь к нам и мы вам поможем|<Small> Ви намагаєтеся завантажити каталог обсягом більше {max} позицій (Нових позицій), зверніться до нас і ми вам допоможемо
franchise.controllers.same_art|<small>You try to load one or more items with the same order code! Please check the file for the repeated order codes!|<small>Вы пытаетесь загрузить один или более позиций с одинаковым артикулом! Проверьте файл на наличие одинаковых артикулов! |<Small> Ви намагаєтеся завантажити один або більше позицій з однаковим артикулом! Перевірте файл на наявність однакових артикулів!
frontend.controllers.vendor.cat_error_twelve|<small>You try to load one or more items with the same name! Please check the file for duplicates!|<small>Вы пытаетесь загрузить один или более позиций с одинаковым названием! Проверьте файл на наличие дублей! |<Small> Ви намагаєтеся завантажити один або більше позицій з однаковою назвою! Перевірте файл на наявність дублів!
frontend.controllers.vendor.cat_error_nine|<small>You try to load one or more items with the same heading! Please check the file for duplicates!|<small>Вы пытаетесь загрузить одну или более позиций с одинаковым наименованием! Проверьте файл на наличие дублей! |<Small> Ви намагаєтеся завантажити одну або більше позицій з однаковим найменуванням! Перевірте файл на наявність дублів!
frontend.controllers.vendor.saving_error_two|<small>If this error persists, please inform us|<small>Если ошибка повторяется, пожалуйста, сообщите нам|<Small> Якщо це не спрацювало, будь ласка, повідомте нам
frontend.views.client.index.history|"<span style=""color:#3F3E3E"">History</span> orders"|"<span style=""color:#3F3E3E"">История</span> заказов"|"<Span style = ""color: # 3F3E3E""> Історія </ span> замовлень"
frontend.views.client.index.my|"<span style=""color:#3F3E3E"">My</span> suppliers"|"<span style=""color:#3F3E3E"">Мои</span> поставщики"|"<Span style = ""color: # 3F3E3E""> Мої </ span> постачальники"
frontend.controllers.client.no_art|<strong>[Order code]</strong> is not specified|<strong>[Артикул]</strong> не указан|<Strong> [Артикул] </ strong> не вказано
frontend.controllers.client.wrong_measure_two|<strong>[Multiplicity]</strong> of product in wrong format|<strong>[Кратность]</strong> товара в неверном формате|<Strong> [Кратність] </ strong> товара в невірному форматі
frontend.controllers.client.wrong_price_two|<strong>[Price]</strong> in wrong format!|<strong>[Цена]</strong> в неверном формате!|<Strong> [Ціна] </ strong> в невірному форматі!
market.views.site.main.city_error|<strong>Ошибка!</strong>Sorry, this city is not supported by MixCart!<br> Please contact service support and we will help you!|<strong>Ошибка!</strong> Извините, данный город не поддерживается системой MixCart!<br> Обратитесь в службу поддержки, и мы обязательно вам поможем!|<Strong> Помилка! </ Strong> Вибачте, даний місто не підтримує системою MixCart! <br> Зверніться в службу підтримки, і ми обов'язково вам допоможемо!
Admin||Admin|Admin
Cохранить|Save|Cохранить|Збережемо
common.models.free_delivery|Order cost for free delivery|Cтоимость заказа для бесплатной доставки|Вартість замовлення для безкоштовної доставки
franchise.views.organization.contact_email_two|Contact person e-mail:|E-mail контактного лица:|E-mail контактної особи:
frontend.controllers.user.email_busy|Email is busy|Email занят|Email зайнятий
franchise.views.organization.contact_email|Contact person e-mail|Email контактного лица|Email контактної особи
common.models.org_email|Company email|Email организации|Email організації
frontend.views.settings.email_deleted|Email is deleted from the recipient list|Email удален из списка получаетелей|Email вилучений зі списку получаетелей
frontend.views.order.email_two|Email: |Email:|Email:
GLN-код|GLN-code|GLN-код|GLN-код
common.models.franch_id|ID franchise|ID франши|ID Франш
franchise.views.site.meanwhile|Meanwhile, you may|Meanwhile, you may|Meanwhile, you may
franchise.views.finance.mix_two|MixCart|MixCart Мне|MixCart Мені
franchise.views.site.mix_me|MixCart to Me|MixCart Мне:|MixCart Мені:
market.views.site.search_supp.vendors|MixCart Suppliers|MixCart Поставщики|MixCart Постачальники
market.views.site.supp_prod.vendors_prods|MixCart Supplier's products|MixCart Продукты поставщика|MixCart Продукти постачальника
market.views.site.index.main|MixCart Home|MixCart главная|MixCart головна
market.views.site.supplier.info|MixCart information about supplier|MixCart информация о поставщике|MixCart інформація про постачальника
market.views.site.product.info|MixCart information about product|MixCart информация о товаре|MixCart інформація про товар
franchise.views.finance.mix_me|MixCart|MixCart мне|MixCart мені
market.views.site.search_prods.results|MixCart search results|MixCart результаты поиска|MixCart результати пошуку
common.mail.friend_invite.instrument|MixCart is a tool for automation of cooperation process between supplier and restaurant. The restaurants create orders making several clicks. The suppliers obtain and process orders. The orders are processed in one place. A human mistake factor is brought down to a minimum. MixCart reduces time required for order processing in several times. It decreases quantity of returns and mistakes.|MixCart это инструмент для автоматизации процесса взаимодействия между поставщиком и рестораном. Рестораны создают заказы, в несколько кликов. Поставщики получают и обрабатывают заказы. Обработка всех заказов, происходит в одном месте. Минимум человеческого фактора. MixCart, сокращает время на обработку заказов в несколько раз. Уменьшает количество возвратов и ошибок|MixCart це інструмент для автоматизації процесу взаємодії між постачальником і рестораном. Ресторани створюють замовлення, в кілька кліків. Постачальники отримують і обробляють замовлення. Обробка всіх замовлень, відбувається в одному місці. Мінімум людського фактора. MixCart, скорочує час на обробку замовлень в кілька разів. Зменшує кількість повернень і помилок
franchise.views.finance.me_to_mix|MixCart'у:|MixCart'у:|MixCart'у:
api.modules.v1.modules.mobile.components.notifications.new_order|MixCart: new order No.|MixCart: новый заказ №|MixCart: нове замовлення №
franchise.views.catalog.newcatalog.ok|Ok|Ok|Ok
common.mail.manager_message.ps||P.S. Мы постоянно добавляем новые возможности, так что следите за новостями в|P.S. Ми постійно додаємо нові можливості, так що стежте за новинами в
frontend.controllers.vendor.no_post|POST is not defined|POST не определен|POST не визначений
market.views.site.error.error_two|Please contact us if you think this is a server error. Thank you.|Please contact us if you think this is a server error. Thank you.|Please contact us if you think this is a server error. Thank you.
franchise.views.site.search_two|Search|Search|Search
market.views.site.error.error|The above error occurred while the Web server was processing your request.|The above error occurred while the Web server was processing your request.|The above error occurred while the Web server was processing your request.
franchise.views.site.error|"The above error occurred while the Web server was processing your request.
                Please contact us if you think this is a server error. Thank you."|"The above error occurred while the Web server was processing your request.
                Please contact us if you think this is a server error. Thank you."|The above error occurred while the Web server was processing your request.                 Please contact us if you think this is a server error. Thank you.
franchise.controllers.not_found|The requested page does not exist.|The requested page does not exist.|The requested page does not exist.
User||User|User
frontend.controllers.client.already|err: User is available in the database! Ban user for the appeared error))!|err: User уже есть в базе! Банить юзера за то, что вылезла подобная ошибка))!|err: User вже є в базі! Банити користувача за те, що вилізла подібна помилка))!
frontend.controllers.client.none_ajax|err: form it is not ajax that directed the form!|err: форма передана не ajax-ом!|err: форма передається не ajax-му!
common.models.vendors_id|Supplier ID|id поставщика|id постачальника
info@mixcart.ru|info@mixcart.ru|info@mixcart.ru|info@mixcart.ru
common.mail.layouts.home|mix-cart.com|mixcart.ru|mixcart.ru
frontend.controllers.request.request_two|mixcart.ru - request No.|mixcart.ru - заявка №|mixcart.ru - заявка №
frontend.controllers.request.mix_two|mixcart.ru - request No.%s|mixcart.ru - заявка №%s|mixcart.ru - заявка №% s
franchise.views.site.or_try|or try using the search form.|or try using the search form.|or try using the search form.
franchise.views.site.return|return to dashboard|return to dashboard|return to dashboard
{attr} not found|{attr} not found|{attr} не найден|{Attr} не найден
sms.request_add_supplier|{client_name} will working with you via mix-cart.com|{client_name} хочет работать с вами на mixcart.ru|{Client_name} хоче працювати з вами на mixcart.ru
sms.order_done|{name} completed order at|{name} завершил заказ|{Name} завершив замовлення
sms.order_changed|{name} modified order details at|{name} изменил детали заказа|{Name} змінив деталі замовлення
sms.order_canceled|{name} canceled order at|{name} отменил заказ|{Name} скасував замовлення
sms.client_invite_repeat|Restaurant sent you a repeat invitation  to work via mix-cart.com|{name} повторно приглашает вас работать с ним через mixcart.ru|{Name} повторно запрошує вас працювати з ним через mixcart.ru
sms.request_new_callback|{vendor_name} responded to you request No.{request_id} at mix-cart.com|{vendor_name} оставил отклик на вашу заявку №{request_id} на mixcart.ru|{Vendor_name} залишив відгук на вашу заявку № {request_id} на mixcart.ru
sms.order_processing|{vendor_name} agreed order at|{vendor_name} согласовал заказ|{Vendor_name} погодив замовлення
common.mail.accept_active_vendor_invite.we|{vendor}, has already made its work easier with MixCart {link} and is glad to invite you to work together on mix-cart.com.|{vendor}, уже сделал свою работу легче с помощью {link} и приглашает вас работать вместе с ним.|{Vendor}, вже зробив свою роботу легше за допомогою {link} і запрошує вас працювати разом з ним.
frontend.views.site.home|"And now you can<a href=""{home_url}"">go to the Home page</a>."|"А пока можно <a href=""{home_url}"">перейти на главную страницу</a>."|"А поки можна <a href=""{home_url}""> перейти на головну сторінку </a>."
frontend.views.vendor.art_two|ORDER CODE|АРТИКУЛ|АРТИКУЛ
Абонентская плата|Subscription fee|Абонентская плата|Абонентська плата
Абхазия|Abkhazia|Абхазия|Абхазія
common.models.avatar|Icon|Аватар|Аватар
frontend.controllers.settings.avatar|Icon is changed!|Аватар изменен!|Аватар змінено!
common.models.managers_avatar|Icon manager|Аватар менеджера|Аватар менеджера
frontend.views.vendor.aug|August|Август|Серпень
common.models.aug|August|Августа|серпня
Авокадо|Avocado|Авокадо|авокадо
Австралия|Australia|Австралия|Австралія
Австралия и Новая Зеландия||Австралия и Новая Зеландия|Австралія і Нова Зеландія
Австрийская Республика||Австрийская Республика|Австрійська Республіка
Австрия|Austria|Австрия|Австрія
frontend.views.site.auto_work|Automatic work with purchasers.<br/>Purchasers, orders, and analytics in the same place. |Автоматизация работы с закупщиками.<br/>Закупщики, заказы и аналитика, в одном месте.|Автоматизація роботи з закупщиками. <br/> Закупники, замовлення і аналітика, в одному місці.
frontend.views.site.online_service|Automate purchases|Автоматизируйте закупки|Автоматизуйте закупівлі
Авторская мебель|Designer furniture|Авторская мебель|Авторські меблі
Агент|Agent|Агент|агент
frontend.views.vendor.address|Address|Адрес|Адреса
frontend.views.request.change_address|"You can change address can be in ""Settings"""|"Адрес можно изменить в разделе ""Настройки"""|"Адреса можна змінити в розділі ""Налаштування"""
frontend.views.site.address|Company address|Адрес организации|Адреса організації
franchise.views.site.request.rest_address|Restaurant address:|Адрес ресторана:|Адреса ресторану:
market.views.site.supplier.self_address|Address for customer pickup:|Адрес самовывоза:|Адреса самовивозу:
Адрес:|Address:|Адрес:|Адреса:
Азербайджан|Azerbaijan|Азербайджан|Азербайджан
Азербайджанский манат|Azerbaijani manat|Азербайджанский манат|Азербайджанський манат
frontend.controllers.client.ai_two|Ouch! It is not very nice!|Ай ай ай как не хорошо!|Ай ай ай як недобре!
Аксессуары для бара|Bar accessories|Аксессуары для бара|Аксесуари для бару
Аксессуары для кухни|Kitchen accessories|Аксессуары для кухни|Аксесуари для кухні
franchise.views.site.settings.is_active|Active|Активен|активний
frontend.views.site.actions_sales|Deals and sales|Акции и распродажи|Акції та розпродажі
Албания|Albania|Албания|Албанія
Алжир|Algeria|Алжир|Алжир
Алжирская Народная Демократическая Республика||Алжирская Народная Демократическая Республика|Алжирська Народна Демократична Республіка
Алкоголь|Alcohol|Алкоголь|алкоголь
Американское Самоа|American Samoa|Американское Самоа|американське Самоа
frontend.views.vendor.anal_two|Analytics|Аналитика|Аналітика
frontend.views.client.anal.anal_three|Analytics in one place|Аналитика в одном месте|Аналітика в одному місці
Ангилья|Antilia|Ангилья|Ангілья
Ангола|Angola|Ангола|Ангола
Андорра|Andorra|Андорра|Андорра
Антарктида|Antarctida|Антарктида|Антарктида
Антигуа и Барбуда|Antigua & Barbuda|Антигуа и Барбуда|Антигуа і Барбуда
frontend.views.vendor.apr|April|Апрель|Квітень
common.models.apr|April|Апреля|квітня
Арабская Республика Египет||Арабская Республика Египет|Арабська Республіка Єгипет
арахисовое масло|Peanut oil|Арахисовое масло|Арахісове масло
Аргановое масло|Argan oil|Аргановое масло|Арганова олія
Аргентина|Argentina|Аргентина|Аргентина
Аргентинская Республика||Аргентинская Республика|аргентинська Республіка
Армения|Armenia|Армения|Вірменія
Артикул|Vendor code|Артикул|Артикул
frontend.views.vendor.art|Order code of a product is combination of letters, figures, signs that means the given model of product.|Артикул товара - это сочетание букв, цифр, символов, которое обозначает данную модель товара|Артикул товару - це поєднання букв, цифр, символів, яке позначає дану модель товару
market.views.site.product.art|Order Code No. |Артикул №|Артикул №
frontend.views.order.art_two|Order code:|Артикул:|Артикул:
Аруба|Aruba|Аруба|Аруба
Афганистан|Afghanistan|Афганистан|Афганістан
frontend.views.user.default.business|BUSINESS|БИЗНЕС|БІЗНЕС
frontend.views.layouts.header.businesses|BUSINESS|БИЗНЕСЫ|БІЗНЕСИ
common.models.bik_two|BIK|БИК|БИК
franchise.views.organization.bik_two|BIK|БИК:|БИК:
Багамы|Bahamas|Багамы|Багами
frontend.views.vendor.var3|Base price|Базовая цена|Базова ціна
Бакалея|Grocery|Бакалея|Бакалія
Баклажаны|Eggplants|Баклажаны|баклажани
Бангладеш|Bangladesh|Бангладеш|Бангладеш
common.models.bank_two|Bank|Банк|банк
franchise.views.organization.bank_two|Bank|Банк:|банк:
franchise.views.site.roll_up|Banner Roll-up|Баннер Roll-up|Банер Roll-up
Баранина|Mutton|Баранина|баранина
Барбадос|Barbados|Барбадос|Барбадос
Барные стойки, станции официанта, ресепшн|Bar counters, waiter stations, reception|Барные стойки, станции официанта, ресепшн|Барні стійки, станції офіціанта, ресепшн
Бахрейн|Bahrein|Бахрейн|Бахрейн
Бахчевые|Сucurbits crop|Бахчевые|баштанні
common.models.no_discount|without discount|Без скидки|без знижки
Безалкогольные напитки|Non-alcoholic beverage|Безалкогольные напитки|Безалкогольні напої
frontend.views.request.no_cash_two|Wire transfer|Безналичный расчет|Безготівковий розрахунок
frontend.views.site.security_two|What about the security of my personal data? |Безопасность моих данных?|Безпека моїх даних?
franchise.views.site.badges|Badges|Бейджи|бейджи
Беларусь|Belarus|Беларусь|Білорусь
Белиз|Belize|Белиз|Беліз
Белорусский рубль|Belarussian rouble|Белорусский рубль|Білоруський рубль
Бельгия|Belgium|Бельгия|Бельгія
Бенин|Benin|Бенин|Бенін
Бермуды|Bermuda|Бермуды|Бермуди
market.views.site.supplier.free_delivery|Free delivery from|Бесплатная доставка от:|Безкоштовна доставка від:
common.mail.confirm_email.full_text_mobile|Thank you for registering on MixCart! Please confirm your email address to get started. Please enter this PIN code {pin} in mobile application or click here:|Благодарим Вас за регистрацию в MixCart! Перед началом работы необходимо подтвердить этот адрес электронной почты. Для этого введите PIN {pin} в мобильном приложении или пройдите по ссылке:|Дякуємо Вам за реєстрацію в MixCart! Перед початком роботи необхідно підтвердити цю адресу електронної пошти. Для цього введіть PIN {pin} в мобільному додатку або пройдіть по посиланню:
common.mail.confirm_email.full_text||Благодарим Вас за регистрацию в MixCart! Перед началом работы необходимо подтвердить этот адрес электронной почты. Для этого пройдите по ссылке:|Дякуємо Вам за реєстрацію в MixCart! Перед початком роботи необхідно підтвердити цю адресу електронної пошти. Для цього пройдіть по посиланню:
common.mail.welcome.thanks|Thank you for confirmation of your personal account.|Благодарю за подтверждение Вашей учетной записи|Дякую за підтвердження Вашого облікового запису
api.common.mail.confirm_email.thanks|Thank you for confirmation of your personal account.|Благодарю за подтверждение Вашей учетной записи.|Дякую за підтвердження Вашого облікового запису.
franchise.views.site.blank|Form|Бланк|бланк
Блины|Pancakes|Блины|млинці
Блины, пирожки|Pancakes, baked stuffed buns|Блины, пирожки|Млинці, пиріжки
frontend.views.layout.main.blog|Blog|Блог|Блог
franchise.views.site.notepad|Notebook|Блокнот|блокнот
Бобовые|Legumes|Бобовые|бобові
Бобовые, крупы|Legume crops, groats|Бобовые, крупы|Бобові, крупи
Болгария|Bulgaria|Болгария|Болгарія
Боливарийская Республика Венесуэла||Боливарийская Республика Венесуэла|Боліварійская Республіка Венесуела
Боливия, Многонациональное Государство|Bolivia, Plurinational State|Боливия, Многонациональное Государство|Болівія, Багатонаціональна Держава
frontend.views.site.no_calls|No more calls, tables, and other ancient tools. Create orders in several clicks.|Больше никаких звонков, таблиц и прочих, устаревших инструментов. Создавайте заказы в несколько кликов.|Більше ніяких дзвінків, таблиць та інших, застарілих інструментів. Створюйте замовлення в кілька кліків.
frontend.views.site.mixcart|MixCart is a tool for automation of cooperation process between supplier and restaurant. The restaurants create orders making several clicks. The suppliers obtain and process orders. The orders are processed in one place. A human mistake factor is brought down to a minimum. MixCart reduces the time required for order processing in several times. It decreases the number of returns and mistakes.|"Большинству людей технологии делают жизнь легче. А для бизнеса IT технологии
открывают новые возможности роста. MixCart - это удобный сервис по автоматизации
закупок и улучшению взаимодействия между рестораном и поставщиком. Традиционно
длительный процесс закупок и связанных с ним коммуникаций становится управляемым в
любой момент времени, из любой точки мира. MixCart сокращает время на обработку
заказов в несколько раз и уменьшает количество возвратов и ошибок."|"
Більшості людей технології роблять життя легшим. А для бізнесу IT технології
відкривають нові можливості зростання. MixCart - це зручний сервіс автоматизації
закупівель та поліпшення взаємодії між рестораном і постачальником. традиційно
тривалий процес закупівель і пов'язаних з ним комунікацій стає керованим в
будь-який момент часу, з будь-якої точки світу. MixCart скорочує час на обробку
замовлень в кілька разів і зменшує кількість повернень і помилок."
Бонайре, Саба и Синт-Эстатиус|Bonaire, Saba and Sint-Eustatius|Бонайре, Саба и Синт-Эстатиус|Бонайре, Саба і Сінт-Естатіус
Босния и Герцеговина|Bosnia and Herzegovina|Босния и Герцеговина|Боснія і Герцеговина
Ботсвана|Botswana|Ботсвана|Ботсвана
Бразилия|Brazil|Бразилия|Бразилія
Британская территория в Индийском океане|British Indian Ocean Territory|Британская территория в Индийском океане|Британська територія в Індійському океані
Британские Виргинские острова||Британские Виргинские острова|Британські Віргінські острови
Бруней-Даруссалам|Brunei Darussalam|Бруней-Даруссалам|Бруней-Даруссалам
frontend.views.request.will_delete_two|It will be taken off|Будет снята|буде знято
frontend.views.vendor.copy_cat|Copy of this catalogue will be created.|Будет создана копия текущего каталога|Буде створена копія поточного каталогу
frontend.views.site.future_today|Future comes today!|Будущее уже сегодня!|Майбутнє вже сьогодні!
common.mail.layouts.be_successful|Be successful with Mixcart!|Будьте успешнее с MixCart!|Будьте успішніше з MixCart!
frontend.views.site.auto_buy|Be successful with MixCart.|Будьте успешнее с MixCart.|Будьте успішніше з MixCart.
Бульоны и концентраты|Broths and concentrated products|Бульоны и концентраты|Бульйони і концентрати
Буркина-Фасо|Burkina Faso|Буркина-Фасо|Буркіна-Фасо
Бурунди|Burundi|Бурунди|Бурунді
Бутан|Butane|Бутан|Бутан
Бухгалтер|Accountant|Бухгалтер|Бухгалтер
common.mail.manager_message.li3||Быстро находить продукты и сравнивать цены|Швидко знаходити продукти і порівнювати ціни
common.mail.accept_restaurant_invite.abilities|In MixCart there are ample opportunities for restaurants and suppliers. Below you will find a few words in this regard.|В MixCart очень широкие возможности для поставщиков, о некоторых из них несколько слов ниже|У MixCart дуже широкі можливості для постачальників, про деякі з них кілька слів нижче
common.mail.friend_invite.abilities|In MixCart there are ample opportunities for restaurants and suppliers. Below you will find a few words in this regard.|В MixCart очень широкие возможности для ресторанов и поставщиков, о некоторых из них несколько слов ниже|У MixCart дуже широкі можливості для ресторанів і постачальників, про деякі з них кілька слів нижче
common.mail.accept_vendor_invite.abilities|In MixCart there are ample opportunities for restaurants and suppliers. Below you will find a few words in this regard.|В MixCart очень широкие возможности для ресторанов, о некоторых из них несколько слов ниже|У MixCart дуже широкі можливості для ресторанів, про деякі з них кілька слів нижче
frontend.views.site.all_vendors|In MixCart you can see all suppliers and select those who meet your requirements.|В MixCart, вы можете видеть всех поставщиков, и выбрать для себя тех, кто соответствует вашим критериям.|У MixCart, ви можете бачити всіх постачальників, і вибрати для себе тих, хто відповідає вашим критеріям.
frontend.views.site.1c_future|In the nearest future, we will develop data integration tool with 1C and data exchange through API. |В ближайшем будущем мы разработаем механизмы интеграции с 1С, а так же будет возможность обмена данными через API.|У найближчому майбутньому ми розробимо механізми інтеграції з 1С, а так само буде можливість обміну даними через API.
frontend.views.site.future|In the nearest future, we will develop data integration tool with the popular software on restaurant management. |В ближайшем будущем мы разработаем механизмы интеграции с распространенным программным обеспечением по управлению ресторана.|У найближчому майбутньому ми розробимо механізми інтеграції з поширеним програмним забезпеченням по управлінню ресторану.
frontend.widgets.cart.views.no_goods|There is no product in your cart.|В вашей корзине нет товаров.|У вашому кошику немає товарів.
market.controllers.site.no_goods|There are products in this category |В данной категории товаров нет|У даній категорії товарів немає
common.mail.manager_message.two_words||В двух словах — что можно делать в MixCart:|У двох словах - що можна робити в MixCart:
frontend.views.order.guides.in_basket_two|In Cart|В корзину|В кошик
frontend.views.site.not_now|No, at the moment. |В настоящее время нет.|В даний час немає.
frontend.views.site.experience|The foundation of MixCart is our 10-years experience in business automation, sales, and solution of the complicated business tasks. |В основу площадки MixCart был вложен наш 10 летний опыт работы по автоматизации бизнеса, продажам и решению сложных бизнес задач.|В основу майданчики MixCart був вкладений наш 10 річний досвід роботи з автоматизації бізнесу, продажу та вирішення складних бізнес задач.
common.models.additional_email.working|In progress|В работе|В роботі
frontend.views.site.diff_catalogs|"In the section ""My catalogues"" you can create any number of different catalogues. You can create catalogues according to any rules, reduce or increase the prices, make them fixed or connected to percentages.  "|"В разделе ""мои каталоги"", вы можете создать любое количество разных каталогов. Вы можете создавать каталоги по любым правилам, опускать цены фиксировано, поднимать, или привязывая к процентам. Далее любого своего клиента с любым каталогом."|"У розділі ""мої каталоги"", ви можете створити будь-яку кількість різних каталогів. Ви можете створювати каталоги з будь-яких правил, опускати ціни фіксоване, піднімати, або прив'язуючи до відсотків. Далі будь-якого свого клієнта з будь-яким каталогом."
